time,angle,speed
0,131,42
21,67,63
37,68,11
61,67,3
77,67,3
103,67,0
135,67,3
159,67,8
187,67,2
244,68,0
274,68,2
299,67,63
333,67,1
382,68,5
438,67,63
464,67,0
497,68,11
522,67,63
554,67,3
580,67,63
613,67,54
635,67,1
659,67,5
677,67,2
708,67,2
773,67,2
791,67,2
807,67,8
839,67,60
858,67,5
891,67,1
915,67,5
948,67,3
967,67,3
1004,68,3
1028,68,1
1068,67,1
1097,68,5
0,0,0
0,231,52
20,183,63
35,183,1
53,183,8
85,183,14
110,183,2
136,183,63
159,183,5
0,0,0
10,180,0
27,180,0
61,180,8
85,180,11
110,180,2
165,180,8
181,180,5
196,180,63
215,180,54
232,180,35
247,179,40
264,180,11
297,180,0
313,180,63
338,180,0
363,180,1
