time,angle,speed
0,248,33
17,178,7
34,171,8
51,168,0
75,164,49
91,164,8
109,163,57
132,162,8
149,160,54
165,160,1


0,119,49
20,230,14
45,228,3
72,228,14
93,227,51
118,226,5
143,226,1
159,226,63


0,108,16
17,256,57
34,256,8
50,253,11
75,255,11
91,254,0
107,254,0
124,254,20
148,254,5
165,254,11
189,254,3
206,254,11
223,254,8
240,254,5
271,253,5
296,253,5
313,253,54
330,253,0
346,253,0
362,253,0
379,254,8
403,253,60
444,253,1
468,254,2
512,253,5
534,253,11
567,253,2
583,253,1
608,254,26
633,253,54
648,253,0
665,253,8
691,253,17
715,253,0
739,253,2
753,254,26
774,253,1
790,253,46
